"variable","model","BIC"
"lipids1","linear",-748.964260133378
"lipids1","poly2",-743.224516596792
"lipids1","poly3",-738.356571824097
"lipids1","exp",1254.58522033308
"lipids1","log",-705.981083565092
"lipids2","linear",-139.817152715398
"lipids2","poly2",-136.206156107947
"lipids2","poly3",-129.796903619176
"lipids2","exp",1775.18195194808
"lipids2","log",-143.323417468339
"lipids3","linear",-97.7415570262827
"lipids3","poly2",-94.6334922985607
"lipids3","poly3",-88.3008620462294
"lipids3","exp",1817.28964156833
"lipids3","log",-100.383655551959
"сarb_metabolism","linear",-84.1292710983821
"сarb_metabolism","poly2",-77.4176414782011
"сarb_metabolism","poly3",-71.9916961296989
"сarb_metabolism","exp",1832.6952326514
"сarb_metabolism","log",-84.0726818054799
"hormone2","linear",-70.9673766001795
"hormone2","poly2",-68.980504925573
"hormone2","poly3",-65.435359402132
"hormone2","exp",1849.50897230442
"hormone2","log",-76.5326018130671
"lipid_pero4","linear",-68.4130570756709
"lipid_pero4","poly2",-62.5195345324811
"lipid_pero4","poly3",-57.4000201011169
"lipid_pero4","exp",1848.85638973869
"lipid_pero4","log",-67.0899773230437
