"variable","spearman_corr","s_p_value"
"lipids1",0.739949171478096,2e-04
"lipids2",0.272083595852345,2e-04
"lipids3",-0.188009899971171,2e-04
"сarb_metabolism",0.138911792708627,2e-04
"hormone2",-0.104160198124112,8e-04
"lipid_pero4",0.0740109057199266,0.015
"record_id",0.0619251233846701,0.034
"antioxidant4",0.0489899007460039,0.1
"lipid_pero2",0.0444757597649994,0.131
"antioxidant3",0.0430496694944495,0.147
"hormone3",-0.0420559111438019,0.163
"hormone7",-0.0413938518827893,0.171
"lipids4",0.0366189716343563,0.196
"hormone1",-0.0356816266822993,0.227
"lipid_pero3",0.0349377501517177,0.238
"lipid_pero1",0.0237751781192559,0.426
"hormone4",-0.0232340809222811,0.434
"hormone5",0.0196671108454043,0.505
"hormone6",-0.0131352293982809,0.654
"hormone10_generated",-0.00960625119533789,0.734
"antioxidant1",-0.00938690657167501,0.74
"lipid_pero5",0.00973523699204957,0.753
"hormone8",0.00637029588545204,0.828
"antioxidant2",-0.00495863471118129,0.867
"antioxidant5",0.00289985907508455,0.926
